pid_hex,pid_name,class_family,operation_groups,evidence_source,confidence,notes
0x2028,PID_XBOXJP,JP handshake dispatch,CoreDiag;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x202e,PID_XBOXJPUSB,JP handshake dispatch,CoreDiag;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x203a,PID_68JP,JP handshake dispatch,CoreDiag;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x2049,PID_68JPUSB,JP handshake dispatch,CoreDiag;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x2100,PID_Xcloud,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x2101,PID_Xcloud2,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x3004,PID_N64,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x3010,PID_Pro2_Wired,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x3011,PID_Ultimate_PC,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x3012,PID_Ultimate2_4,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x3013,PID_Ultimate2_4RR,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x3019,PID_N64BT,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x301a,PID_UltimateBT2C,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x3026,PID_XBOXUK,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x3027,PID_XBOXUKUSB,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x3100,PID_USB_Ultimate,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x3105,PID_USB_Ultimate2,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x5200,PID_JP,JP handshake dispatch,CoreDiag;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x5201,PID_JPUSB,JP handshake dispatch,CoreDiag;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x5203,PID_NUMPAD,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x5204,PID_NUMPADRR,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x6002,PID_SN30Plus,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x6003,PID_Pro2,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x6006,PID_Pro2_CY,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x901a,PID_ArcadeStick,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
0x9028,PID_N64RR,Standard64 dispatch,CoreDiag;ModeProfileRead;FirmwarePreflight,static,inferred,candidate-readonly wave dossier (static-only)
